Date,HIGQ,LOWQ,HIGN,LOWN
2010-02-11,86,21,42,6
2010-02-12,85,18,50,4
2010-02-16,107,7,101,2
2010-02-17,124,9,110,2
2010-02-18,121,12,116,1
2010-02-19,161,13,139,1
2010-02-22,148,11,140,2
2010-02-23,99,9,73,3
2010-02-24,126,13,77,5
2010-02-25,118,16,65,7
2010-02-26,115,10,109,3
2010-03-01,195,15,214,2
2010-03-02,234,9,232,2
2010-03-03,213,10,222,2
2010-03-04,150,4,144,1
2010-03-05,263,7,297,1
2010-03-08,263,10,327,1
2010-03-09,214,5,288,2
2010-03-10,236,5,273,2
2010-03-11,221,7,206,2
2010-03-12,227,3,324,2
2010-03-15,177,10,185,2
2010-03-16,212,11,301,2
2010-03-17,281,7,419,2
2010-03-18,187,14,231,2
2010-03-19,190,10,197,4
2010-03-22,186,12,192,6
2010-03-23,257,8,265,4
2010-03-24,160,9,187,4
2010-03-25,220,9,283,3
2010-03-26,103,13,109,3
2010-03-29,113,12,155,1
2010-03-30,133,16,200,2
2010-03-31,125,18,142,3
2010-04-01,156,10,228,3
2010-04-05,230,10,391,2
2010-04-06,229,9,396,1
2010-04-07,194,7,271,1
2010-04-08,151,8,176,2
2010-04-09,195,11,281,2
2010-04-12,238,9,340,2
2010-04-13,191,12,254,2
2010-04-14,355,6,491,2
2010-04-15,369,16,443,1
2010-04-16,207,13,185,2
2010-04-19,128,18,78,2
2010-04-20,209,11,267,2
2010-04-21,282,13,341,1
2010-04-22,301,14,390,3
2010-04-23,353,10,547,2
2010-04-26,391,8,567,2
2010-04-27,173,12,157,4
2010-04-28,119,17,73,6
2010-04-29,223,12,258,6
2010-04-30,190,17,274,6
2010-05-03,129,20,194,7
2010-05-04,69,34,47,18
2010-05-05,57,37,31,25
2010-05-06,56,85,42,68
2010-05-07,26,49,8,25
2010-05-10,40,13,31,4
2010-05-11,78,26,46,8
2010-05-12,145,14,86,7
2010-05-13,131,14,96,6
2010-05-14,40,26,15,9
2010-05-17,53,36,30,10
2010-05-18,75,27,41,8
2010-05-19,32,48,7,21
2010-05-20,27,91,6,54
2010-05-21,22,86,8,53
2010-05-24,28,49,7,20
2010-05-25,20,108,7,68
2010-05-26,41,41,13,10
2010-05-27,53,18,14,5
2010-05-28,60,32,19,4
2010-06-01,49,45,16,27
2010-06-02,42,46,19,16
2010-06-03,70,20,45,7
2010-06-04,32,68,14,30
2010-06-07,23,94,11,61
2010-06-08,33,120,8,82
2010-06-09,36,82,18,25
2010-06-10,36,52,22,8
2010-06-11,56,30,33,8
2010-06-14,75,21,69,2
2010-06-15,63,23,60,2
2010-06-16,84,18,65,3
2010-06-17,69,19,60,8
2010-06-18,76,13,63,5
2010-06-21,94,27,118,2
2010-06-22,53,34,28,6
2010-06-23,33,44,11,14
2010-06-24,39,66,8,24
2010-06-25,62,72,22,29
2010-06-28,47,49,30,13
2010-06-29,22,114,9,71
2010-06-30,34,103,11,73
2010-07-01,28,153,8,111
2010-07-02,31,93,10,59
2010-07-06,28,126,19,63
2010-07-07,23,92,23,38
2010-07-08,25,38,40,12
2010-07-09,41,30,48,6
2010-07-12,45,34,42,11
2010-07-13,52,19,62,6
2010-07-14,77,20,55,7
2010-07-15,55,29,48,11
2010-07-16,32,59,22,23
2010-07-19,35,61,34,34
2010-07-20,38,54,54,30
2010-07-21,48,43,74,19
2010-07-22,63,27,82,11
2010-07-23,100,27,91,7
2010-07-26,149,17,141,8
2010-07-27,114,15,154,6
2010-07-28,46,19,38,7
2010-07-29,61,27,52,11
2010-07-30,56,30,34,12
2010-08-02,98,14,125,3
2010-08-03,84,23,67,7
2010-08-04,73,21,93,10
2010-08-05,72,26,76,11
2010-08-06,62,39,46,14
2010-08-09,85,21,99,9
2010-08-10,52,45,66,19
2010-08-11,25,95,5,39
2010-08-12,26,110,8,61
2010-08-13,36,88,11,46
2010-08-16,43,95,13,60
2010-08-17,51,37,45,14
2010-08-18,60,35,43,16
2010-08-19,37,97,23,50
2010-08-20,44,94,13,68
2010-08-23,54,89,32,51
2010-08-24,29,165,7,131
2010-08-25,26,137,14,115
2010-08-26,37,56,23,29
2010-08-27,43,67,35,56
2010-08-30,56,74,29,29
2010-08-31,43,117,28,70
2010-09-01,70,31,89,6
2010-09-02,77,23,92,8
2010-09-03,104,14,142,1
2010-09-07,55,20,62,8
2010-09-08,92,31,79,5
2010-09-09,95,28,100,11
2010-09-10,62,33,73,3
2010-09-13,113,18,152,4
2010-09-14,108,20,136,1
2010-09-15,102,19,83,5
2010-09-16,93,21,71,5
2010-09-17,106,26,119,10
2010-09-20,164,15,209,6
2010-09-21,142,16,154,6
2010-09-22,83,21,87,8
2010-09-23,73,30,46,12
2010-09-24,138,15,137,5
2010-09-27,127,14,138,6
2010-09-28,151,16,115,7
2010-09-29,142,18,128,4
2010-09-30,138,25,190,6
2010-10-01,113,18,140,4
2010-10-04,64,22,91,4
2010-10-05,177,10,223,7
2010-10-06,129,11,191,4
2010-10-07,117,15,177,2
2010-10-08,137,15,182,2
2010-10-11,152,12,211,1
2010-10-12,115,15,123,1
2010-10-13,224,8,358,1
2010-10-14,156,17,203,3
2010-10-15,191,14,207,6
2010-10-18,145,15,164,4
2010-10-19,81,8,87,6
2010-10-20,104,14,182,6
2010-10-21,137,19,234,7
2010-10-22,112,22,90,1
2010-10-25,188,15,268,5
2010-10-26,119,23,102,10
2010-10-27,103,21,63,8
2010-10-28,124,24,136,8
2010-10-29,128,24,125,8
2010-11-01,166,26,186,12
2010-11-02,165,20,211,6
2010-11-03,166,15,197,5
2010-11-04,323,22,481,3
2010-11-05,249,15,402,4
2010-11-08,213,10,224,6
2010-11-09,179,9,262,3
2010-11-10,131,15,99,3
2010-11-11,123,18,115,8
2010-11-12,74,24,34,6
2010-11-15,95,24,51,6
2010-11-16,45,32,16,17
2010-11-17,58,29,20,13
2010-11-18,110,20,100,7
2010-11-19,105,23,82,15
2010-11-22,127,26,113,16
2010-11-23,65,33,37,18
2010-11-24,197,22,150,8
2010-11-26,142,26,80,10
2010-11-29,105,38,66,16
2010-11-30,95,45,79,18
